Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
HFC-245ea;CHF2CHFCHF2;3.2;years;0.16;2.15E-11;863;2.16E-11;235;3.2;4.20734E-11;4.21875E-11;4.21305E-11
HFC-245eb;CH2FCHFCF3;3.1;years;0.2;2.66E-11;1070;2.66E-11;290;3.1;4.2971E-11;4.29032E-11;4.29371E-11
HFC-245fa;CHF2CH2CF3;7.7;years;0.24;7.29E-11;2920;7.87E-11;858;7.7;4.2622E-11;4.25867E-11;4.26043E-11
HFC-263fb;CH3CH2CF3;1.2;years;0.1;6.93E-12;278;6.93E-12;76;1.2;5.775E-11;5.775E-11;5.775E-11
HFC-272ca;CH3CF2CH3;2.6;years;0.07;1.32E-11;530;1.32E-11;144;2.6;7.25606E-11;7.25275E-11;7.2544E-11
HFC-329p;CHF2CF2CF2CF3;28.4;years;0.31;1.13E-10;4510;2.16E-10;2360;28.4;2.53904E-11;2.52818E-11;2.53361E-11
HFC-365mfc;CH3CF2CH2CF3;8.7;years;0.22;6.64E-11;2660;7.38E-11;804;8.7;3.85624E-11;3.85584E-11;3.85604E-11
HFC-43-10mee;CF3CHFCHFCF2CF3;16.1;years;0.42;1.08E-10;4310;1.51E-10;1650;16.1;2.24553E-11;2.23756E-11;2.24154E-11
HFC-1132a;CH2=CF2;4;days;0.004;3.87E-15;0;3.87E-15;0;0.010958904;8.82844E-11;8.82844E-11;8.82844E-11
HFC-1141;CH2=CHF;2.1;days;0.002;1.54E-15;0;1.54E-15;0;0.005753425;1.33833E-10;1.33833E-10;1.33833E-10
(Z)-HFC-1225ye;CF3CF=CHF(Z);8.5;days;0.02;2.14E-14;1;2.14E-14;0;0.023287671;4.59471E-11;4.59471E-11;4.59471E-11
(E)-HFC-1225ye;CF3CF=CHF(E);4.9;days;0.01;7.25E-15;0;7.25E-15;0;0.013424658;5.40051E-11;5.40051E-11;5.40051E-11
(Z)-HFC-1234ze;CF3CH=CHF(Z);10;days;0.02;2.61E-14;1;2.61E-14;0;0.02739726;4.76325E-11;4.76325E-11;4.76325E-11
HFC-1234yf;CF3CF=CH2;10.5;days;0.02;3.22E-14;1;3.22E-14;0;0.028767123;5.59667E-11;5.59667E-11;5.59667E-11
(E)-HFC-1234ze;trans-CF3CH=CHF;16.4;days;0.04;8.74E-14;4;8.74E-14;1;0.044931507;4.86296E-11;4.86296E-11;4.86296E-11
(Z)-HFC-1336;CF3CH=CHCF3(Z);22;days;0.07;1.54E-13;6;1.54E-13;2;0.060273973;3.65E-11;3.65E-11;3.65E-11
HFC-1243zf;CF3CH=CH2;7;days;0.01;1.37E-14;1;1.37E-14;0;0.019178082;7.14357E-11;7.14357E-11;7.14357E-11
